concat("https://git.educoder.net/", m.repo_name, ".git")	shixun_id	name
https://git.educoder.net/p26849301/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p72160948/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p71265890/stewl573.git	96	C++之函数应用
https://git.educoder.net/p96813052/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p79438156/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p78405916/stewl573.git	96	C++之函数应用
https://git.educoder.net/p32491786/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/m29147856/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/m34962157/stewl573.git	96	C++之函数应用
https://git.educoder.net/m20435981/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/m60415983/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/m34962157/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p97306582/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/p26849301/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p03789542/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p75026483/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/m83290657/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/p67359804/stewl573.git	96	C++之函数应用
https://git.educoder.net/m90542138/stewl573.git	96	C++之函数应用
https://git.educoder.net/chengjie7568/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p63720845/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/m10539478/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/p42730568/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p47613985/hawxspqm.git	81	C++之Switch控制语句编程实训
https://git.educoder.net/p78405916/hawxspqm.git	81	C++之Switch控制语句编程实训
https://git.educoder.net/m10539478/stewl573.git	96	C++之函数应用
https://git.educoder.net/m91476503/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/m10539478/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p37492068/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/m41589623/p4f2jtkq.git	717	程序设计二（面向对象）_实训1_封装
https://git.educoder.net/p53948610/hawxspqm.git	81	C++之Switch控制语句编程实训
https://git.educoder.net/m25683790/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/p53948610/stewl573.git	96	C++之函数应用
https://git.educoder.net/p38924057/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/p38924057/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/m63279148/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/p53948610/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/lilichenzz/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/innov/p4f2jtkq-1.git	717	程序设计二（面向对象）_实训1_封装
https://git.educoder.net/m60459831/stewl573.git	96	C++之函数应用
https://git.educoder.net/p19035648/stewl573.git	96	C++之函数应用
https://git.educoder.net/p71596832/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p97614053/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/p72160948/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/p19035648/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p97614053/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p47613985/stewl573.git	96	C++之函数应用
https://git.educoder.net/m54186920/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p72160948/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p72160948/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p92403516/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/m85071362/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/m91476503/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p19035648/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/m83290657/stewl573.git	96	C++之函数应用
https://git.educoder.net/p72160948/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/m85071362/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p21530486/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/m91476503/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/p92403516/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p03596874/qmeb65oa.git	51	C++之整数性质判断
https://git.educoder.net/m83290657/hawxspqm.git	81	C++之Switch控制语句编程实训
https://git.educoder.net/p78405916/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/m98507426/stewl573.git	96	C++之函数应用
https://git.educoder.net/p73069245/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/m17425896/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p73069245/fp6cmstz.git	57	C++之if-else基本应用
https://git.educoder.net/p24573816/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p24569017/qmeb65oa.git	51	C++之整数性质判断
https://git.educoder.net/p73069245/hawxspqm.git	81	C++之Switch控制语句编程实训
https://git.educoder.net/p73069245/tjxnyuv6.git	56	C++之if-else基本性质
https://git.educoder.net/m28563049/w3vcokrg.git	206	数据结构与算法-排序
https://git.educoder.net/p95208674/guzqi4nm.git	101	C&C++线性表实训
https://git.educoder.net/p76493025/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/p91624385/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/m92105647/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/Luoxun/p4f2jtkq-2.git	717	程序设计二（面向对象）_实训1_封装
https://git.educoder.net/p21530486/g8w3nj6r.git	92	C++之while循环性质
https://git.educoder.net/m98507426/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/p21530486/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p47613985/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/m39170582/85fat9w3.git	100	C&C++结构实训
https://git.educoder.net/p64295387/r4vlju5x.git	99	C&C++指针实训
https://git.educoder.net/m89013574/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p03596874/748fkcya.git	53	C++之整数基本应用（I）
https://git.educoder.net/p03596874/o7pr4f6v.git	54	C++之整数基本应用（II）
https://git.educoder.net/p10632459/guzqi4nm.git	101	C&C++线性表实训
https://git.educoder.net/p30189275/pxlsuotc.git	93	C++之do-while循环性质
https://git.educoder.net/p30189275/fp6cmstz.git	57	C++之if-else基本应用
